"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1","17/08/2018","Betis","Levante",0,3,"A"
"2","17/08/2018","Girona","Valladolid",0,0,"D"
"3","18/08/2018","Barcelona","Alaves",3,0,"H"
"4","18/08/2018","Celta","Espanol",1,1,"D"
"5","18/08/2018","Villarreal","Sociedad",1,2,"A"
"6","19/08/2018","Eibar","Huesca",1,2,"A"
"7","19/08/2018","Real Madrid","Getafe",2,0,"H"
"8","19/08/2018","Vallecano","Sevilla",1,4,"A"
"9","20/08/2018","Ath Bilbao","Leganes",2,1,"H"
"10","20/08/2018","Valencia","Ath Madrid",1,1,"D"
"11","24/08/2018","Getafe","Eibar",2,0,"H"
"12","24/08/2018","Leganes","Sociedad",2,2,"D"
"13","25/08/2018","Alaves","Betis",0,0,"D"
"14","25/08/2018","Ath Madrid","Vallecano",1,0,"H"
"15","25/08/2018","Valladolid","Barcelona",0,1,"A"
"16","26/08/2018","Espanol","Valencia",2,0,"H"
"17","26/08/2018","Girona","Real Madrid",1,4,"A"
"18","26/08/2018","Sevilla","Villarreal",0,0,"D"
"19","27/08/2018","Ath Bilbao","Huesca",2,2,"D"
"20","27/08/2018","Levante","Celta",1,2,"A"
"21","31/08/2018","Eibar","Sociedad",2,1,"H"
"22","31/08/2018","Getafe","Valladolid",0,0,"D"
"23","31/08/2018","Villarreal","Girona",0,1,"A"
"24","01/09/2018","Celta","Ath Madrid",2,0,"H"
"25","01/09/2018","Real Madrid","Leganes",4,1,"H"
"26","02/09/2018","Alaves","Espanol",2,1,"H"
"27","02/09/2018","Barcelona","Huesca",8,2,"H"
"28","02/09/2018","Betis","Sevilla",1,0,"H"
"29","02/09/2018","Levante","Valencia",2,2,"D"
"30","14/09/2018","Huesca","Vallecano",0,1,"A"
"31","15/09/2018","Ath Bilbao","Real Madrid",1,1,"D"
"32","15/09/2018","Ath Madrid","Eibar",1,1,"D"
"33","15/09/2018","Sociedad","Barcelona",1,2,"A"
"34","15/09/2018","Valencia","Betis",0,0,"D"
"35","16/09/2018","Espanol","Levante",1,0,"H"
"36","16/09/2018","Leganes","Villarreal",0,1,"A"
"37","16/09/2018","Sevilla","Getafe",0,2,"A"
"38","16/09/2018","Valladolid","Alaves",0,1,"A"
"39","17/09/2018","Girona","Celta",3,2,"H"
"40","21/09/2018","Huesca","Sociedad",0,1,"A"
"41","22/09/2018","Celta","Valladolid",3,3,"D"
"42","22/09/2018","Eibar","Leganes",1,0,"H"
"43","22/09/2018","Getafe","Ath Madrid",0,2,"A"
"44","22/09/2018","Real Madrid","Espanol",1,0,"H"
"45","22/09/2018","Vallecano","Alaves",1,5,"A"
"46","23/09/2018","Barcelona","Girona",2,2,"D"
"47","23/09/2018","Betis","Ath Bilbao",2,2,"D"
"48","23/09/2018","Levante","Sevilla",2,6,"A"
"49","23/09/2018","Villarreal","Valencia",0,0,"D"
"50","25/09/2018","Ath Madrid","Huesca",3,0,"H"
"51","25/09/2018","Espanol","Eibar",1,0,"H"
"52","25/09/2018","Sociedad","Vallecano",2,2,"D"
"53","26/09/2018","Ath Bilbao","Villarreal",0,3,"A"
"54","26/09/2018","Leganes","Barcelona",2,1,"H"
"55","26/09/2018","Sevilla","Real Madrid",3,0,"H"
"56","26/09/2018","Valencia","Celta",1,1,"D"
"57","27/09/2018","Alaves","Getafe",1,1,"D"
"58","27/09/2018","Girona","Betis",0,1,"A"
"59","27/09/2018","Valladolid","Levante",2,1,"H"
"60","28/09/2018","Vallecano","Espanol",2,2,"D"
"61","29/09/2018","Barcelona","Ath Bilbao",1,1,"D"
"62","29/09/2018","Eibar","Sevilla",1,3,"A"
"63","29/09/2018","Real Madrid","Ath Madrid",0,0,"D"
"64","29/09/2018","Sociedad","Valencia",0,1,"A"
"65","30/09/2018","Betis","Leganes",1,0,"H"
"66","30/09/2018","Huesca","Girona",1,1,"D"
"67","30/09/2018","Levante","Alaves",2,1,"H"
"68","30/09/2018","Villarreal","Valladolid",0,1,"A"
"69","01/10/2018","Celta","Getafe",1,1,"D"
"70","05/10/2018","Ath Bilbao","Sociedad",1,3,"A"
"71","06/10/2018","Alaves","Real Madrid",1,0,"H"
"72","06/10/2018","Getafe","Levante",0,1,"A"
"73","06/10/2018","Girona","Eibar",2,3,"A"
"74","06/10/2018","Leganes","Vallecano",1,0,"H"
"75","07/10/2018","Ath Madrid","Betis",1,0,"H"
"76","07/10/2018","Espanol","Villarreal",3,1,"H"
"77","07/10/2018","Sevilla","Celta",2,1,"H"
"78","07/10/2018","Valencia","Barcelona",1,1,"D"
"79","07/10/2018","Valladolid","Huesca",1,0,"H"
"80","19/10/2018","Celta","Alaves",0,1,"A"
"81","20/10/2018","Barcelona","Sevilla",4,2,"H"
"82","20/10/2018","Real Madrid","Levante",1,2,"A"
"83","20/10/2018","Valencia","Leganes",1,1,"D"
"84","20/10/2018","Villarreal","Ath Madrid",1,1,"D"
"85","21/10/2018","Betis","Valladolid",0,1,"A"
"86","21/10/2018","Eibar","Ath Bilbao",1,1,"D"
"87","21/10/2018","Huesca","Espanol",0,2,"A"
"88","21/10/2018","Vallecano","Getafe",1,2,"A"
"89","22/10/2018","Sociedad","Girona",0,0,"D"
"90","24/10/2018","Vallecano","Ath Bilbao",1,1,"D"
"91","26/10/2018","Valladolid","Espanol",1,1,"D"
"92","27/10/2018","Ath Bilbao","Valencia",0,0,"D"
"93","27/10/2018","Ath Madrid","Sociedad",2,0,"H"
"94","27/10/2018","Celta","Eibar",4,0,"H"
"95","27/10/2018","Girona","Vallecano",2,1,"H"
"96","27/10/2018","Levante","Leganes",2,0,"H"
"97","28/10/2018","Alaves","Villarreal",2,1,"H"
"98","28/10/2018","Barcelona","Real Madrid",5,1,"H"
"99","28/10/2018","Getafe","Betis",2,0,"H"
"100","28/10/2018","Sevilla","Huesca",2,1,"H"
"101","03/11/2018","Leganes","Ath Madrid",1,1,"D"
"102","03/11/2018","Real Madrid","Valladolid",2,0,"H"
"103","03/11/2018","Valencia","Girona",0,1,"A"
"104","03/11/2018","Vallecano","Barcelona",2,3,"A"
"105","04/11/2018","Betis","Celta",3,3,"D"
"106","04/11/2018","Eibar","Alaves",2,1,"H"
"107","04/11/2018","Huesca","Getafe",1,1,"D"
"108","04/11/2018","Sociedad","Sevilla",0,0,"D"
"109","04/11/2018","Villarreal","Levante",1,1,"D"
"110","05/11/2018","Espanol","Ath Bilbao",1,0,"H"
